epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,77434.3,1.11701,0.5116,1.39959,0.85106,0.71197,0.77952,0.40286,1.50325,0.82263,1.39487,0.00241,0.00241,0.00241
48,85226.2,1.11224,0.50665,1.39924,0.8444,0.71329,0.77935,0.40353,1.50179,0.8215,1.39371,0.002245,0.002245,0.002245
49,92934.8,1.11279,0.50777,1.39305,0.84085,0.71647,0.77979,0.40419,1.50103,0.81989,1.3929,0.00208,0.00208,0.00208
50,100635,1.10635,0.5014,1.39416,0.84058,0.71734,0.78019,0.40437,1.49899,0.81952,1.39143,0.001915,0.001915,0.001915
51,108260,1.07831,0.44219,1.46084,0.8425,0.72094,0.78076,0.40437,1.49744,0.81798,1.39073,0.00175,0.00175,0.00175
52,115914,1.06816,0.43816,1.45492,0.83982,0.72327,0.78196,0.4048,1.49565,0.81599,1.38946,0.001585,0.001585,0.001585
53,123562,1.06402,0.43295,1.44955,0.84094,0.72346,0.78331,0.40516,1.49361,0.81433,1.3882,0.00142,0.00142,0.00142
54,131210,1.05583,0.42585,1.44446,0.8367,0.72791,0.78485,0.40576,1.49188,0.81227,1.3872,0.001255,0.001255,0.001255
55,138850,1.05521,0.42283,1.44495,0.83728,0.72982,0.78505,0.40542,1.49034,0.80998,1.38646,0.00109,0.00109,0.00109
56,147804,1.04701,0.41894,1.4402,0.83869,0.72664,0.78567,0.40626,1.48913,0.80801,1.38568,0.000925,0.000925,0.000925
57,8301.85,1.06722,0.42739,1.45554,0.84045,0.726,0.78573,0.40596,1.48894,0.80779,1.38525,0.00076,0.00076,0.00076
58,16062.2,1.06185,0.42439,1.45082,0.83892,0.72511,0.78422,0.40592,1.48909,0.80722,1.38514,0.000595,0.000595,0.000595
59,23821.5,1.05458,0.42173,1.44543,0.83827,0.72282,0.78455,0.40574,1.48909,0.80639,1.38512,0.00043,0.00043,0.00043
60,32492.4,1.04844,0.4153,1.43873,0.8402,0.72155,0.78446,0.40629,1.48897,0.80597,1.38523,0.000265,0.000265,0.000265
